	total_energy	enthalpy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-18.3322193506867	-9.071163892114907	-260.5117405233732	-140.63053807086942	-9.261055458571793	32	47	8
1	-17.278682816373816	-8.77070633051096	-257.1571126728593	-136.1187519916132	-8.507976485862857	18	452	6
2	-16.77870614201171	-7.089757071659774	-255.96616379815887	-135.63454958377892	-9.688949070351937	57	85	12
3	-15.12231718667243	-5.431713162456221	-257.083791352842	-136.2132968572891	-9.690604024216208	103	92	13
4	-14.20052878201686	-6.151882902867884	-257.17536149100096	-135.34090264204167	-8.048645879148976	6	88	2
5	-13.299386009069723	-3.9222375465398986	-255.44974474158474	-132.8442473169315	-9.377148462529824	52	238	11
6	-12.700645420390572	-4.3687651622583985	-253.8462407073722	-142.54106217875156	-8.331880258132173	41	423	10
7	-12.60215383232689	-2.8630274185095104	-255.34539418695522	-136.56404454123987	-9.73912641381738	37	401	9
8	-12.46219688534853	-5.340017449672279	-255.12570822964892	-139.3202095542988	-7.12217943567625	11	210	5
9	-11.634607641527712	-2.82125235286013	-252.44426440004122	-132.92045907741735	-8.813355288667582	24	138	7
10	-10.494483209555625	-2.5591744747049576	-252.00305250122295	-138.15695246143048	-7.9353087348506675	8	166	3
11	-7.830415739423896	-0.7921821121199262	-251.90987958583483	-135.25180560635602	-7.03823362730397	10	449	4
12	-7.683308478003375	-0.9064265805769871	-254.9792624274106	-137.75265402331536	-6.776881897426388	6	394	1
