	total_energy	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-42.3564416622694	-35.83594509455274	-196.46710672096512	-117.45382101665072	-6.520496567716656	277	15
1	-42.26178896711087	-35.74129239939421	-197.34622372769994	-116.53985462102447	-6.520496567716656	139	15
2	-41.943554082103375	-35.43238117242518	-199.09830541362265	-111.41766856021572	-6.511172909678192	147	14
3	-41.625584354394725	-35.10508778667807	-194.42756159112838	-116.04835037999631	-6.520496567716656	405	15
4	-41.52378660768325	-35.012613698005055	-194.38100376901824	-117.17846389555754	-6.511172909678192	267	14
5	-39.326944287636486	-32.80644771991983	-194.51137821908048	-114.97389470152181	-6.520496567716656	74	15
6	-39.07670273617389	-32.55620616845724	-196.73524803866763	-114.53941558582329	-6.520496567716656	288	15
7	-38.78523578382815	-32.274062874149955	-198.16940100060685	-115.04057587702013	-6.511172909678192	16	14
8	-38.76028473186643	-32.23978816414977	-195.5210860167975	-116.334378953795	-6.520496567716656	482	15
9	-38.64793113356332	-32.136758223885124	-194.78329678829905	-116.13197432328519	-6.511172909678192	495	14
10	-38.446334268157585	-31.935161358479395	-197.74325965175103	-114.2084461927137	-6.511172909678192	296	14
11	-38.42650232153014	-31.90600575381348	-194.5401452047925	-114.84480811095247	-6.520496567716656	444	15
12	-38.36659854809137	-31.846101980374712	-195.32525594078794	-112.39421219246515	-6.520496567716656	132	15
13	-38.313146617779815	-31.79265005006316	-195.11757723602656	-112.70390226059135	-6.520496567716656	190	15
14	-38.25509512940355	-31.734598561686894	-198.9367861438229	-114.13107565099081	-6.520496567716656	459	15
15	-38.23028145106667	-31.709784883350018	-198.00060829714138	-108.51857155145784	-6.520496567716656	60	15
16	-38.04217417158621	-31.521677603869556	-194.1507274370571	-114.47025226796518	-6.520496567716656	86	15
17	-37.9589411992971	-31.44776828961891	-194.3011610654828	-116.17589626258369	-6.511172909678192	245	14
18	-37.94223488440315	-31.421738316686493	-193.3737351978201	-111.16407000578687	-6.520496567716656	83	15
19	-37.76585119551823	-31.25467828584004	-196.46488446455967	-113.74633916181203	-6.511172909678192	183	14
20	-37.67898862493907	-31.158492057222418	-196.93757878582872	-109.02693524968802	-6.520496567716656	407	15
21	-37.66495342782626	-31.15378051814807	-195.1928694449673	-115.25393307877215	-6.511172909678192	381	14
22	-37.65851832672408	-31.147345417045887	-196.923096176819	-112.52220965236505	-6.511172909678192	416	14
23	-37.57489076463476	-31.06371785495657	-196.629962120895	-110.56923315518304	-6.511172909678192	289	14
24	-37.539716048619205	-31.01921948090255	-196.47257938553577	-113.74222935502007	-6.520496567716656	272	15
25	-37.53762991988187	-31.026457010203682	-198.08199543077222	-112.18893411434593	-6.511172909678192	226	14
26	-37.46128162616595	-31.734167439771518	-197.8133794312725	-112.96705133903583	-5.727114186394433	299	5
27	-37.332520595810635	-30.81202402809398	-193.85417169216566	-113.08960590810543	-6.520496567716656	45	15
28	-37.3000524020319	-30.78887949235371	-194.5087244510673	-112.09991106770919	-6.511172909678192	461	14
29	-37.20884234283267	-30.688345775116012	-193.19437604331452	-117.36160407517706	-6.520496567716656	9	15
30	-37.17302365788511	-31.44590947149068	-195.6859688045058	-111.67147529012458	-5.727114186394433	303	5
31	-36.97790988473715	-32.321741157232864	-192.40903468379435	-114.1658703432204	-4.656168727504285	191	9
32	-36.93780264352004	-30.41730607580338	-193.78834904467385	-116.21302654236939	-6.520496567716656	109	15
33	-36.93701581025206	-30.425842900573873	-194.71184556134247	-111.08422357621055	-6.511172909678192	310	14
34	-36.90705566803353	-30.386559100316873	-194.94208770013805	-116.20409200695778	-6.520496567716656	369	15
35	-36.749055860014344	-30.22855929229769	-194.63451293674973	-113.22697276921589	-6.520496567716656	173	15
36	-36.683492629663846	-30.172319719985655	-193.73929948804707	-118.0620037597324	-6.511172909678192	65	14
37	-36.66701859236145	-30.85947272731618	-196.54006522801745	-116.66785023603248	-5.807545865045272	27	2
38	-36.55070714490512	-30.030210577188463	-197.4181198478247	-111.68552118372605	-6.520496567716656	409	15
39	-36.546768254014715	-30.02627168629806	-195.03152470671338	-111.66888037327985	-6.520496567716656	404	15
40	-36.53122858438425	-30.767403988152143	-198.14552071289015	-110.32607622325062	-5.763824596232109	285	7
41	-36.469054188390444	-30.705229592158336	-199.77500440598055	-111.8341251275278	-5.763824596232109	467	7
42	-36.440239948515426	-29.929067038837236	-192.94892883928895	-115.53873147198324	-6.511172909678192	493	14
43	-36.38346926586076	-29.862972698144105	-196.50534346536145	-112.52476810051544	-6.520496567716656	497	15
44	-36.300475530934875	-29.77997896321822	-197.14638315353906	-112.74833271802648	-6.520496567716656	129	15
45	-36.252130111425856	-29.850948225971855	-194.15369916984133	-114.04489681464032	-6.401181885454002	258	13
46	-36.19508270389704	-30.465263938773283	-189.72155258388068	-116.8731348752525	-5.72981876512376	99	12
47	-36.188559417082516	-30.424734820850407	-193.06328047152383	-117.41857843378644	-5.763824596232109	26	7
48	-36.17086313373594	-29.650366566019287	-192.41569090474053	-115.22269837968312	-6.520496567716656	479	15
49	-36.02639375733536	-29.515220847657172	-195.2256222114656	-112.38202470170802	-6.511172909678192	233	14
50	-35.98100192099586	-29.460505353279203	-192.5294262910001	-114.36378421007109	-6.520496567716656	42	15
51	-35.956919924874356	-29.4364233571577	-195.39407208374413	-113.07966222731676	-6.520496567716656	108	15
52	-35.94788276316488	-30.140336898119607	-193.51482536939514	-117.51798515559403	-5.807545865045272	343	2
53	-35.922517681673874	-29.411344771995683	-194.33907851693098	-113.49467928597265	-6.511172909678192	411	14
54	-35.90843096028844	-29.387934392571786	-197.26111601371122	-115.66541835977128	-6.520496567716656	276	15
55	-35.881565236175796	-29.36106866845914	-196.1951322656279	-111.06118149537758	-6.520496567716656	371	15
56	-35.87750735062369	-29.366334440945497	-195.7604366570399	-109.80667051955675	-6.511172909678192	390	14
57	-35.76817902392972	-29.247682456213063	-197.5255821048672	-109.3753627575649	-6.520496567716656	4	15
58	-35.66154263220888	-29.150369722530687	-197.2073696127513	-107.16553890619913	-6.511172909678192	97	14
59	-35.646057309326295	-29.134884399648104	-194.9228451165806	-115.19353463311738	-6.511172909678192	293	14
60	-35.61576073633305	-29.095264168616396	-190.68383937677663	-117.4420404151384	-6.520496567716656	355	15
61	-35.54099561604009	-29.0298227063619	-197.31778450006195	-110.35645633350539	-6.511172909678192	227	14
62	-35.46655669583601	-28.946060128119356	-198.33465939422433	-107.87533638452243	-6.520496567716656	401	15
63	-35.424173035993654	-28.913000126315463	-194.179221131984	-112.15639965963032	-6.511172909678192	11	14
64	-35.36730974892962	-28.846813181212966	-194.4624712671012	-111.73667614772538	-6.520496567716656	94	15
65	-35.365705005265816	-28.854532095587626	-192.31289458044216	-112.54208239396496	-6.511172909678192	275	14
66	-35.34127522641018	-30.448766579000303	-192.74422989559304	-112.03256881908845	-4.89250864740988	373	3
67	-35.310871698148695	-30.654702970644408	-192.80413504118175	-112.72999554630996	-4.656168727504285	443	9
68	-35.26308916030654	-28.75191625062835	-192.3129738770854	-117.98973165315391	-6.511172909678192	462	14
69	-35.24743628807133	-28.72693972035467	-193.1961608605448	-109.03728675102218	-6.520496567716656	104	15
70	-35.225389212205386	-28.714216302527195	-196.8844807541418	-108.86196706037678	-6.511172909678192	168	14
71	-35.18045644851488	-28.659959880798226	-200.8039153940154	-112.26552497707445	-6.520496567716656	393	15
72	-35.162818816670004	-28.651645906991813	-197.39291066246582	-114.48279484731415	-6.511172909678192	88	14
73	-35.11664361484962	-28.596147047132966	-194.5999751881654	-112.929576937227	-6.520496567716656	63	15
74	-35.04359084160553	-28.532417931927338	-192.06030122658294	-114.74010450271948	-6.511172909678192	328	14
75	-34.991471853792945	-28.47097528607629	-193.7735175440808	-113.41580522342858	-6.520496567716656	95	15
76	-34.94537435841045	-28.434201448732257	-195.92808551610568	-111.15301630235777	-6.511172909678192	348	14
77	-34.8859738199977	-28.37480091031951	-197.02968192829223	-109.7279548943678	-6.511172909678192	321	14
78	-34.816009582908094	-28.304836673229904	-196.91616175831314	-104.07717241789821	-6.511172909678192	308	14
79	-34.76309491120154	-28.36191302574754	-196.26645995561293	-110.74725409476773	-6.401181885454002	61	13
80	-34.72170268500249	-29.50014827080571	-192.29982201445358	-115.23341752070047	-5.221554414196782	337	10
81	-34.694307242803	-28.18313433312481	-193.96294578618853	-114.69155137990248	-6.511172909678192	363	14
82	-34.66006627322335	-28.14889336354516	-196.781201715533	-110.62987520942899	-6.511172909678192	207	14
83	-34.61921724930397	-28.89210306290954	-198.49121859378127	-113.88636922865271	-5.727114186394433	487	5
84	-34.613679278081094	-28.093182710364438	-193.99057695597915	-111.63959403881616	-6.520496567716656	376	15
85	-34.59158453651854	-29.370030122321758	-194.36356940401612	-113.6512665711451	-5.221554414196782	114	10
86	-34.55922825621908	-28.048055346540888	-194.08597450961366	-112.14418977460834	-6.511172909678192	301	14
87	-34.54026198964889	-28.0290890799707	-197.0872868945778	-111.64073491664759	-6.511172909678192	201	14
88	-34.536946178746234	-29.644437531336354	-196.4866389318205	-104.75429625926797	-4.89250864740988	257	3
89	-34.460995654674306	-28.731176889550547	-196.3407567591509	-113.00865784746746	-5.72981876512376	10	12
90	-34.450001558468244	-27.938828648790054	-195.76541272431945	-111.67576669211131	-6.511172909678192	435	14
91	-34.42801509257669	-28.80506092149334	-194.3273675070826	-114.48043948833232	-5.622954171083355	37	6
92	-34.42317700395965	-27.91200409428146	-191.97991331679322	-114.19346237922039	-6.511172909678192	131	14
93	-34.41482292144956	-27.894326353732907	-195.45510445521288	-112.00683751263239	-6.520496567716656	192	15
94	-34.40826519021832	-29.752096462714036	-190.84201445546924	-117.4265053715563	-4.656168727504285	391	9
95	-34.325434296269925	-27.924252410815924	-196.6718841119642	-108.86504160256118	-6.401181885454002	82	13
96	-34.309608756964394	-29.568359310393294	-194.3814674633922	-115.39840342829345	-4.741249446571099	75	11
97	-34.251680913037575	-27.73118434532092	-194.27834555619003	-109.35056562069106	-6.520496567716656	144	15
98	-34.23947282871611	-27.72829991903792	-194.8612113468806	-113.78674739160857	-6.511172909678192	208	14
99	-34.232162900400425	-27.720989990722234	-194.91215094397666	-109.22659252519766	-6.511172909678192	127	14
100	-34.194218247660636	-27.683045337982445	-194.07089383280712	-114.43303504255756	-6.511172909678192	350	14
101	-34.07294855590152	-27.552451988184863	-193.28307988719823	-119.9485983886624	-6.520496567716656	212	15
102	-33.96650808383731	-27.56532619838331	-197.86991807763158	-113.60237404241418	-6.401181885454002	149	13
103	-33.92344028732142	-28.300486116238066	-191.59112141770598	-114.60628474423723	-5.622954171083355	306	6
104	-33.89059490144687	-27.489413015992866	-194.5528976827671	-110.8482085142586	-6.401181885454002	219	13
105	-33.86557606156098	-28.10175146532887	-197.31775414614316	-114.09878083030715	-5.763824596232109	408	7
106	-33.80961319242462	-27.289116624707965	-193.85184269708637	-115.2340941208348	-6.520496567716656	477	15
107	-33.68380239909579	-27.163305831379134	-196.3847406210409	-112.96311790789315	-6.520496567716656	216	15
108	-33.617481229173684	-28.961312501669397	-191.08182849854046	-111.24964909334113	-4.656168727504285	90	9
109	-33.602607844195106	-28.41889736187378	-190.12151674439883	-112.95112043832296	-5.1837104823213265	346	4
110	-33.59573412969399	-27.075237561977332	-196.72360429331147	-112.7136948781202	-6.520496567716656	330	15
111	-33.58988065111499	-27.078707741436798	-193.04334288534326	-109.650866378192	-6.511172909678192	383	14
112	-33.56732961744999	-28.826080170878893	-193.9257643986782	-108.93680019946984	-4.741249446571099	28	11
113	-33.52653918552298	-27.796720420399218	-198.65916473765475	-104.14839286590758	-5.72981876512376	181	12
114	-33.51964682585859	-26.99915025814193	-196.06960465988138	-109.37588366159787	-6.520496567716656	385	15
115	-33.44349667968402	-26.92300011196736	-195.50400642847987	-112.8203251832454	-6.520496567716656	298	15
116	-33.41308746905932	-28.19153305486254	-193.47145541635058	-112.45284806845628	-5.221554414196782	445	10
117	-33.374376886694634	-26.85388031897798	-196.77020432803295	-111.40780044687347	-6.520496567716656	352	15
118	-33.36172832197349	-26.850555412295297	-195.51667975025686	-111.00524020998785	-6.511172909678192	489	14
119	-33.35652293426372	-26.836026366547067	-195.4649650421686	-111.00250165460727	-6.520496567716656	153	15
120	-33.348464020103464	-27.72550984902011	-192.03737067821936	-109.08629320679923	-5.622954171083355	55	6
121	-33.334378825133435	-28.441517936392806	-192.738410583596	-112.13810464703548	-4.892860888740627	81	8
122	-33.28656326605332	-26.77539035637513	-193.25735811499896	-111.20492691326439	-6.511172909678192	399	14
123	-33.26434218856703	-26.753169278888837	-196.89337649468777	-109.421235433814	-6.511172909678192	422	14
124	-33.23008948663523	-28.00853507243845	-195.82300094162056	-112.1346623404006	-5.221554414196782	117	10
125	-33.19560070116445	-26.68442779148626	-196.47934723088244	-106.2638241972625	-6.511172909678192	179	14
126	-33.17346720741921	-28.432217760848108	-193.68509255233295	-113.30856657458992	-4.741249446571099	269	11
127	-33.170505684067514	-26.65000911635086	-195.6881162663414	-113.4758148298937	-6.520496567716656	174	15
128	-33.1120200074347	-26.7108381219807	-190.86548016733965	-117.74905027913255	-6.401181885454002	396	13
129	-33.03351855723402	-26.522345647555827	-192.6725055665948	-111.87432196345625	-6.511172909678192	36	14
130	-32.974066714996404	-28.081205826255776	-193.03299397929467	-112.7751264296001	-4.892860888740627	478	8
131	-32.92571757060063	-27.195898805476872	-197.20563956285963	-107.04570751250769	-5.72981876512376	210	12
