	total_energy	enthalpy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-17.8291108429682	-11.436166212309757	-218.06579939249855	-117.7483060666127	-6.392944630658442	46	57	15
1	-17.7298704030512	-11.359274933121728	-215.65446419122887	-122.26167847258037	-6.370595469929473	26	40	12
2	-16.84117836675206	-12.985232111293692	-217.4771486550997	-118.88108762793782	-3.855946255458368	8	74	3
3	-16.62662169858631	-10.80233493265922	-217.19268141692774	-116.50614737886275	-5.82428676592709	19	189	9
4	-16.4373265364585	-10.364092977963193	-215.8722763718657	-119.92234506090497	-6.073233558495306	22	279	11
5	-14.824173357255471	-8.285377755335475	-215.253991997252	-119.95578794266223	-6.538795601919998	37	104	14
6	-14.742228780404933	-10.00404049636592	-216.14103842315203	-120.90333658388262	-4.738188284039011	8	260	4
7	-12.50520217119591	-6.330368980910742	-213.24701794714687	-123.17611866688071	-6.174833190285168	34	93	13
8	-12.180886543409343	-7.875216938186584	-213.62704495614977	-123.15032155603777	-4.305669605222759	11	118	6
9	-11.95271125845799	-6.056827271601657	-215.2136770042821	-117.48390068031124	-5.895883986856333	8	5	2
10	-11.919771360479013	-6.580188173323668	-213.0873356570834	-117.22925196467826	-5.339583187155345	7	264	1
11	-11.601470879198859	-5.519420970708321	-214.43022229020187	-117.45953268870743	-6.0820499084905375	13	415	8
12	-11.01153850065481	-6.379820737015503	-213.8043811933895	-120.36987186675752	-4.6317177636393065	12	495	7
13	-7.7820018906511415	-2.0528360967676837	-211.07135454855785	-122.00009452587476	-5.729165793883458	20	24	10
14	-5.5717477546459255	-0.20645152698703484	-210.44060021488266	-115.99097871804844	-5.365296227658891	10	498	5
