	total_energy	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-17.950419506863753	-11.57982403693428	-216.35427555040056	-121.22615869096987	-6.370595469929473	40	12
1	-17.85315209090952	-11.46020746025108	-218.06527786804108	-117.76670035513452	-6.392944630658442	57	15
2	-17.391529565848987	-11.020934095919515	-214.05136217861977	-124.9038163493824	-6.370595469929473	123	12
3	-16.84118170939022	-12.985235453931852	-217.47715057814298	-118.88108831862256	-3.855946255458368	74	3
4	-16.626658587753095	-10.802371821826007	-217.19268761587145	-116.50615334382601	-5.824286765927088	189	9
5	-16.482249629969083	-10.40901607147378	-216.0769262722732	-121.98327980811985	-6.073233558495304	279	11
6	-16.478040759331993	-10.40480720083669	-215.74743282741733	-117.83963212295482	-6.073233558495304	162	11
7	-16.053765375447114	-9.68316990551764	-213.73746865304523	-122.52287527035169	-6.370595469929473	262	12
8	-14.87007777625195	-8.477133145593509	-218.28846764304538	-114.86272806153667	-6.392944630658442	482	15
9	-14.859915875496755	-8.321120273576756	-215.26506044764665	-119.97172668290543	-6.538795601919999	104	14
10	-14.755887245300507	-10.017698961261495	-216.1377582200313	-120.92225015544692	-4.738188284039011	260	4
11	-14.691136958481415	-8.617903399986112	-214.21861263443148	-120.06553211177847	-6.073233558495304	89	11
12	-14.51976943694956	-8.149173967020086	-216.41077087421507	-121.01662170808113	-6.370595469929473	125	12
13	-14.41296197805723	-8.042366508127756	-215.9354117364546	-122.54947487521083	-6.370595469929473	337	12
14	-13.19496637358936	-6.8020217429309175	-216.64835152847965	-119.69064928360949	-6.392944630658442	7	15
15	-13.1677419996935	-6.797146529764028	-214.9140877718878	-118.71788309631314	-6.370595469929473	46	12
16	-12.963741207053662	-6.57079657639522	-218.28531730104692	-115.61914906615738	-6.392944630658442	458	15
17	-12.895117297461441	-6.720284107176273	-213.30319000388403	-123.47851509010479	-6.1748331902851685	93	13
18	-12.699029958302972	-6.306085327644531	-217.98896292540616	-121.3203112554003	-6.392944630658442	499	15
19	-12.417299645998025	-6.046704176068552	-219.13140724753413	-116.84323661107769	-6.370595469929473	47	12
20	-12.36291174476446	-5.969967114106018	-214.09468422368258	-116.02505710008504	-6.392944630658442	102	15
21	-12.294594027829225	-7.988924422606466	-213.3801273444882	-123.6156870145209	-4.305669605222759	118	6
22	-11.962036973431736	-6.066152986575403	-215.21853209320508	-117.47690169974166	-5.895883986856333	5	2
23	-11.94756465222413	-6.607981465068787	-213.04780171360053	-117.23114263886787	-5.339583187155344	264	1
24	-11.915750259394349	-5.37695465747435	-215.3255095322291	-119.30218627781043	-6.538795601919999	500	14
25	-11.732799533983613	-5.6507496254930745	-214.38048279842621	-117.32428734218128	-6.082049908490538	415	8
26	-11.70602428972074	-5.531191099435571	-214.02212465621344	-121.91452941722548	-6.1748331902851685	120	13
27	-11.687988395985975	-5.2950437653275335	-217.0250126847495	-112.47600814834601	-6.392944630658442	334	15
28	-11.515155518094787	-6.776967234055776	-216.9160634879541	-116.43462642542333	-4.738188284039011	14	4
29	-11.485131846036358	-5.31029865575119	-211.93000913461373	-124.31209602333381	-6.1748331902851685	432	13
30	-11.470185521566838	-5.29535233128167	-210.49382000873308	-124.16740997406733	-6.1748331902851685	103	13
31	-11.394944104160432	-4.856148502240433	-213.27470032309876	-115.37354949992131	-6.538795601919999	435	14
32	-11.381099575827642	-5.206266385542474	-215.96422643412592	-119.05201705492448	-6.1748331902851685	464	13
33	-11.084761606538285	-6.453043842898978	-213.76299615696772	-120.47979773503856	-4.6317177636393065	495	7
34	-10.865532979286476	-4.326737377366477	-210.44301718351457	-121.68411287840355	-6.538795601919999	167	14
35	-10.796487684642171	-6.490818079419412	-216.67773543306714	-117.37274914766432	-4.305669605222759	95	6
36	-10.441958133165137	-4.049013502506695	-215.02845502936592	-118.62892436263922	-6.392944630658442	461	15
37	-10.234894597989637	-4.161661039494333	-215.031384315431	-122.33862592827582	-6.073233558495304	271	11
38	-10.123156954381699	-4.04110704589116	-215.40237652808491	-118.10410363469435	-6.082049908490538	53	8
39	-9.740823792839144	-3.3478791621807025	-217.48778058516118	-113.63564399794565	-6.392944630658442	258	15
40	-9.587406636608023	-3.194462005949581	-218.15259409542026	-113.82872869747143	-6.392944630658442	210	15
41	-9.35069070999872	-2.9577460793402777	-209.7519526827263	-121.97033052692888	-6.392944630658442	163	15
42	-9.252226981297559	-2.7134313793775604	-215.70687429775734	-118.59824606329619	-6.538795601919999	135	14
43	-9.208805029127756	-2.8158603984693142	-217.4691875311031	-114.7803910220331	-6.392944630658442	327	15
44	-9.208415749839446	-3.8688325626841022	-217.0307631191255	-117.07808713637678	-5.339583187155344	39	1
45	-9.145084987497153	-3.0630350790066148	-213.3132598501208	-124.6153964450254	-6.082049908490538	203	8
46	-9.125355091585593	-3.3010683256585054	-216.98789571804735	-114.8941910353003	-5.824286765927088	263	9
47	-8.919604650853712	-2.7447714605685434	-214.79589950273964	-118.08494057484135	-6.1748331902851685	299	13
48	-8.903035241875726	-2.364239639955727	-213.3371002844594	-118.91215656366103	-6.538795601919999	438	14
49	-8.629494809801185	-3.997777046161879	-213.9721715864609	-115.12322969513912	-4.6317177636393065	73	7
50	-8.60460247119022	-2.2116578405317773	-216.69760092699815	-115.57580585074712	-6.392944630658442	33	15
51	-8.544428998111973	-3.912711234472667	-216.59689022989724	-118.55825886446318	-4.6317177636393065	48	7
52	-8.486827684332013	-2.0938830536735713	-211.2780162185517	-121.54249740450913	-6.392944630658442	338	15
53	-8.486689631974105	-2.6624028660470174	-212.70879213144602	-116.1199159980362	-5.824286765927088	270	9
54	-8.360429671353133	-2.1855964810679644	-207.64030198666956	-122.60850841749688	-6.1748331902851685	301	13
55	-8.23683289460637	-2.340948907750036	-213.55065378665833	-120.83912392792286	-5.895883986856333	380	2
56	-8.173268292160916	-1.7803236615024742	-216.63047357363325	-113.4652274402333	-6.392944630658442	219	15
57	-7.992139240748974	-3.6864696355262154	-217.83623975345748	-118.34346872784187	-4.305669605222759	112	6
58	-7.98763824513412	-2.258472451250661	-209.9776620558898	-123.44555451683105	-5.729165793883459	24	10
59	-7.964842513300978	-4.108896257842609	-211.56961468568736	-116.75358123685116	-3.855946255458368	4	3
60	-7.907941650778172	-1.3691460488581733	-210.44106837925608	-122.95389774486611	-6.538795601919999	445	14
61	-7.847999962745488	-2.11883416886203	-212.01765096951905	-121.16814912360095	-5.729165793883459	181	10
62	-7.827395154714353	-1.754161596219049	-215.04712985025316	-118.7349368425462	-6.073233558495304	175	11
63	-7.773674252971891	-1.3807296223134493	-213.61355317652055	-120.16029311475278	-6.392944630658442	100	15
64	-7.736094650844059	-1.9118078849169713	-215.06441772183484	-115.39267422206572	-5.824286765927088	31	9
65	-7.62345683285253	-1.2305122021940882	-218.0945406877132	-114.81419357413054	-6.392944630658442	387	15
66	-7.4787797769951325	-1.5828957901387994	-211.93534702459152	-118.85765300484024	-5.895883986856333	443	2
67	-7.452098012995233	-1.0815025430657599	-214.33979725619395	-113.67205794969982	-6.370595469929473	350	12
68	-7.3059278203385105	-0.9353323504090376	-215.83306074716145	-111.48267261554142	-6.370595469929473	470	12
69	-7.259504775602206	-0.8889093056727333	-213.32640841863673	-116.25265104333573	-6.370595469929473	209	12
70	-7.123262140816756	-1.2989753748896682	-217.4807905102362	-116.33472598847217	-5.824286765927088	78	9
71	-6.99249111617141	-0.45369551425141097	-205.0265451513458	-118.66121118282162	-6.538795601919999	241	14
72	-6.930335337991742	-1.5907521508363978	-216.1431935319154	-115.33902667822485	-5.339583187155344	474	1
73	-6.898369411565179	-0.3595738096451804	-215.17857657406736	-111.12336869669069	-6.538795601919999	340	14
74	-6.891538040292509	-0.8094881318019702	-214.75588569534784	-121.42562848824134	-6.082049908490538	179	8
75	-6.864395452502377	-3.008449197044009	-216.33432096876408	-118.77241839571415	-3.855946255458368	259	3
76	-6.790461308474897	-0.39751667781645494	-215.5588895478483	-115.92138574316435	-6.392944630658442	183	15
77	-6.578197220143151	-0.4033640298579826	-211.69625547731684	-122.23977836419598	-6.1748331902851685	214	13
78	-6.568785356637751	-0.17584072597930955	-210.8774289758683	-114.19031573167307	-6.392944630658442	216	15
79	-6.542705956394824	-0.003910354474825795	-214.2638973626068	-117.7566935596846	-6.538795601919999	221	14
80	-6.531712487219404	-0.4496625787288657	-210.99275391067795	-119.52450549134977	-6.082049908490538	148	8
81	-6.499858681687934	0.03893692023206441	-209.9773059583024	-121.70907037369919	-6.538795601919999	431	14
82	-6.418560170799659	-0.3453266123043548	-212.8861817152713	-118.4759001961689	-6.073233558495304	26	11
83	-6.417034143664404	0.12176145825559459	-211.34490270494967	-121.02572331470812	-6.538795601919999	173	14
84	-6.288359933025196	0.10458469763324629	-216.34299993684948	-111.34542783031657	-6.392944630658442	456	15
85	-6.254309189733915	-0.5251433958504563	-213.42508386915122	-117.57556293678095	-5.729165793883459	460	10
86	-6.224519317682853	-0.4953535237993947	-213.80361661181394	-115.32881674383822	-5.729165793883459	311	10
87	-5.926157956875345	-1.2944401932360385	-216.52330105935755	-111.74810307641464	-4.6317177636393065	45	7
88	-5.857405776208465	0.6813898257115341	-211.43848395762032	-119.92781185681334	-6.538795601919999	362	14
89	-5.803336884414375	0.5896077462440665	-214.91527060636838	-115.53486650039166	-6.392944630658442	176	15
90	-5.767377792867649	0.056908973059439205	-216.29938525915756	-115.31689073511255	-5.824286765927088	13	9
91	-5.673430007260384	0.8653655946596146	-214.30296121385052	-119.85067243288836	-6.538795601919999	300	14
92	-5.618601813568493	0.7743428170899485	-214.27017214237932	-114.45797163381017	-6.392944630658442	94	15
93	-5.584196416506061	0.4890371419892432	-216.1490174130821	-116.67850482711653	-6.073233558495304	421	11
94	-5.580838150034581	-0.2155419223756887	-210.44688039023765	-115.98337973873689	-5.3652962276588925	498	5
95	-5.549161870369237	0.5240716881260674	-213.72520517287134	-116.11163308128134	-6.073233558495304	355	11
96	-5.547286017482238	0.991509584437761	-214.7816897946504	-117.04672889877342	-6.538795601919999	317	14
97	-5.541406577851764	0.8515380528066778	-216.01604172694977	-112.27793211990345	-6.392944630658442	418	15
98	-5.537361117058017	1.0014344848619814	-208.66544510290433	-120.69036960485148	-6.538795601919999	170	14
99	-5.47537259615469	0.2537931977287684	-214.80882241722574	-115.91737305031293	-5.729165793883459	66	10
100	-5.397495545169681	-1.541549289711313	-217.09786085000184	-115.6023472062622	-3.855946255458368	320	3
101	-5.381529095975983	0.3476366979074754	-211.7920295941472	-117.54250044346719	-5.729165793883459	237	10
102	-5.376001897549314	0.798831292735855	-214.09803400483628	-117.61435571159278	-6.1748331902851685	281	13
103	-5.3228722163595865	0.851960973925582	-211.83689832356353	-117.062957416747	-6.1748331902851685	479	13
104	-5.172134775113188	1.366660826806811	-205.4909017555029	-123.03216051855861	-6.538795601919999	282	14
105	-5.147772175856373	-0.8421025706336138	-217.75526525374133	-119.21450293640223	-4.305669605222759	29	6
106	-5.118097169339608	-0.48637940570030125	-208.1035462162546	-122.34475593116024	-4.6317177636393065	467	7
107	-5.055648553869149	0.6735172400143092	-211.25230957664394	-116.71401653620056	-5.729165793883459	384	10
108	-5.018523563361587	1.3520719065678861	-209.27850080731855	-125.50467511337152	-6.370595469929473	60	12
109	-5.017587883797253	1.1572453064879156	-214.32058747277313	-116.54847770431812	-6.1748331902851685	475	13
110	-4.989920951157061	1.4030236795013806	-211.88884255323725	-120.93255023401005	-6.392944630658442	370	15
111	-4.86708745520794	1.5035080147215325	-218.92543701903338	-113.47011817618825	-6.370595469929473	191	12
112	-4.86078646639322	1.3140467238919484	-210.6839838882694	-120.17888084207212	-6.1748331902851685	333	13
113	-4.821948021067758	1.5486474488617148	-216.54150061095984	-118.07113735922381	-6.370595469929473	297	12
114	-4.775088802947089	1.1207951839092445	-208.1658690260323	-120.4413966572977	-5.895883986856333	132	2
115	-4.754642912323211	-0.1229251486839047	-214.64717326250303	-118.06062875528904	-4.6317177636393065	51	7
116	-4.750501734228479	1.073785031698609	-213.44485454773059	-118.52274420010947	-5.824286765927088	406	9
117	-4.692643143316106	-0.386973538093347	-216.84720583003215	-118.35302091221276	-4.305669605222759	273	6
118	-4.639425113862618	1.7311703560668548	-213.17080841554684	-116.5473702589295	-6.370595469929473	367	12
119	-4.529833439441146	1.8631111912172962	-210.56838998266753	-113.17063306520465	-6.392944630658442	28	15
120	-4.514890212034772	1.8780544186236696	-212.87941159211692	-120.20437378404561	-6.392944630658442	230	15
121	-4.51016306974749	1.2190027241359687	-215.68256097922125	-113.09597117659554	-5.729165793883459	422	10
122	-4.428647110796323	1.94194835913315	-218.19177996134437	-115.97912338438614	-6.370595469929473	360	12
123	-4.361035058189454	2.0095604117400185	-217.03117418955748	-111.19288565220297	-6.370595469929473	71	12
124	-4.012888823919825	0.6188289397194815	-210.53300266801133	-115.5703230533741	-4.6317177636393065	90	7
