	total_energy	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-20.860673231663615	-12.56172309574761	-287.22126277808275	-157.105400231684	-8.298950135916005	342	14
1	-19.73227516977729	-10.705204622496279	-285.85347406758956	-159.63252073003204	-9.02707054728101	476	15
2	-19.677119959516375	-10.650049412235365	-294.49142968313816	-156.3659947553003	-9.02707054728101	350	15
3	-19.617523412896997	-10.590452865615987	-295.2729283947274	-156.60241439026456	-9.02707054728101	455	15
4	-19.592777837691067	-10.620349286885878	-298.3349330894524	-157.36676791858994	-8.972428550805189	318	11
5	-18.8524483960372	-10.553498260121195	-294.13492638706214	-156.13672494983308	-8.298950135916005	441	14
6	-17.7465129047364	-8.833655388286896	-297.4255141067832	-154.59842476295492	-8.912857516449503	311	12
7	-17.547203125918614	-9.248252990002609	-283.2476798070255	-160.81154229426434	-8.298950135916005	492	14
8	-17.21042752502508	-8.911477389109073	-287.93780982208557	-155.39506887809222	-8.298950135916005	59	14
9	-16.570052404484194	-8.271102268568189	-293.7283210078203	-157.87914476267125	-8.298950135916005	314	14
10	-16.41241611614698	-8.127518973442319	-298.30070425827597	-153.2018375556918	-8.28489714270466	219	7
11	-15.987102117228101	-8.474610304668968	-298.45794821274905	-161.71456890399654	-7.512491812559133	267	9
12	-15.518465896454419	-6.491395349173409	-299.0740045086846	-152.54550071026057	-9.02707054728101	194	15
13	-15.216983564080856	-6.348990805133088	-293.8924987868302	-152.18160053329916	-8.867992758947768	229	8
14	-14.80467304532301	-5.891815528873508	-294.67146401054686	-158.25178403388432	-8.912857516449503	255	12
15	-14.524309422723944	-6.239412280019284	-301.1639376568916	-154.65337638583637	-8.28489714270466	272	7
16	-14.379834904734322	-5.801314724577512	-296.5046480856572	-153.16183103681436	-8.57852018015681	437	10
17	-13.845863442187882	-5.055907582198913	-293.8713512104742	-152.87337963271244	-8.78995585998897	300	13
18	-13.790561401252502	-6.141547424531556	-302.9760067745769	-145.770395725571	-7.649013976720946	124	3
19	-13.52295845649141	-4.495887909210399	-297.61737539298963	-151.6625097883555	-9.02707054728101	109	15
20	-13.477458583926715	-5.17850844801071	-282.48063512140106	-158.84014405631407	-8.298950135916005	349	14
21	-13.459112259009935	-4.432041711728925	-295.95887374260127	-153.7894691136895	-9.02707054728101	39	15
22	-13.388469791673728	-4.361399244392718	-279.94785449362547	-155.90541141435173	-9.02707054728101	250	15
23	-13.090897238956867	-4.222904480009099	-297.0382664228562	-153.4374397663386	-8.867992758947768	365	8
24	-13.09088863058833	-4.118460079783141	-295.7599594564764	-149.96315420992548	-8.972428550805189	64	11
25	-12.992107277694139	-4.6931571417781335	-294.5796959119132	-153.98887057736147	-8.298950135916005	389	14
26	-12.551639084302238	-3.524568537021228	-292.4732510095186	-153.62884912506095	-9.02707054728101	110	15
27	-12.457054028900991	-4.158103892984986	-280.9678020861269	-163.20518844778715	-8.298950135916005	449	14
28	-12.443796954864553	-4.1448468189485475	-291.21458177529485	-149.64168568048524	-8.298950135916005	61	14
29	-12.383353625807104	-3.470496109357601	-290.868529507422	-153.7433717010324	-8.912857516449503	362	12
30	-12.360892943243845	-3.5709370832548757	-293.21984238308346	-155.39603826576442	-8.78995585998897	114	13
31	-12.188153719811904	-3.161083172530894	-291.40793078862686	-155.7288261108702	-9.02707054728101	433	15
32	-11.926086986293186	-2.8990164390121755	-295.00780784447915	-150.28728982997083	-9.02707054728101	99	15
33	-11.752961202617854	-3.454011066701849	-294.8595339743741	-154.1661954802072	-8.298950135916005	191	14
34	-11.689295614150437	-2.716867063345248	-282.0130746769803	-161.45872130459182	-8.972428550805189	296	11
35	-11.62306763893434	-2.595997091653331	-294.9369629753714	-148.89419308736436	-9.02707054728101	386	15
36	-11.610696306497008	-2.583625759215998	-286.66722928500866	-155.19205874228763	-9.02707054728101	77	15
37	-11.550656878424011	-2.523586331143001	-295.5996588813537	-157.3977757547777	-9.02707054728101	467	15
38	-11.529591023815865	-4.757464069671818	-293.909370065455	-152.06401451958592	-6.7721269541440465	73	1
39	-11.441971153604229	-3.929479341045096	-283.8999469956079	-160.26215317178332	-7.512491812559133	177	9
40	-11.422290769884693	-2.395220222603683	-298.5339682006566	-155.51237942578888	-9.02707054728101	147	15
41	-11.370559145863176	-2.4577016294136733	-292.64086298876504	-156.60544956600017	-8.912857516449503	96	12
42	-11.328838529119341	-2.3017679818383314	-296.0695593213462	-149.85031068402537	-9.02707054728101	291	15
43	-11.293950267654182	-3.7814584550950494	-297.28556166027914	-151.46410168988143	-7.512491812559133	400	9
44	-11.259051117416796	-2.2319805701357858	-293.86073796885233	-150.627450096877	-9.02707054728101	197	15
45	-11.212790669757485	-3.5878846931193253	-287.1569061312204	-155.2327163317497	-7.62490597663816	344	4
46	-11.206922055137309	-2.1798515078562986	-294.9242206562002	-154.66287161683593	-9.02707054728101	413	15
47	-11.161241713400578	-2.2483841969510756	-293.70814284594024	-153.70987138449922	-8.912857516449503	481	12
48	-11.075735803458917	-2.4972156233021074	-292.77797373308573	-153.07786549252205	-8.57852018015681	136	10
49	-11.073852280324125	-3.5613604677649926	-292.3914986130386	-153.19570868397102	-7.512491812559133	220	9
50	-11.007910316745743	-2.708960180829738	-288.8272643722513	-153.82531779162176	-8.298950135916005	27	14
51	-10.949848709368917	-1.9774201585637279	-279.6140952681463	-157.31266979127633	-8.972428550805189	376	11
