	total_energy	enthalpy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-73.72591843176701	-68.93937069853716	-255.74325024579238	-145.71662136413667	-4.786547733229858	13	259	9
1	-72.85817802266818	-67.77753155180484	-254.6704335017334	-140.30555732090386	-5.080646470863337	9	335	6
2	-71.20984419779198	-65.57568209834041	-248.11877361447932	-147.98909590924026	-5.634162099451571	10	263	7
3	-70.77468991522214	-65.91518755634992	-257.24061427688605	-142.6997625137246	-4.859502358872224	25	429	14
4	-70.09696958548355	-64.92245786445098	-254.09274295591086	-142.38443892913432	-5.174511721032571	17	339	12
5	-69.55269878536804	-65.19156031109468	-249.70260922779835	-143.93254293231834	-4.361138474273366	9	25	2
6	-67.89058008710421	-62.42473064188229	-252.62041593822687	-143.9666264243955	-5.46584944522192	50	90	15
7	-67.784106729477	-62.13554733399345	-252.57755796104902	-145.03647120609773	-5.6485593954835505	16	384	11
8	-66.06281984973258	-59.36250772028742	-248.2019915507959	-142.37718208098974	-6.700312129445159	14	64	10
9	-65.93345269448622	-61.2434612409528	-248.48895749099495	-140.35647567789854	-4.6899914535334215	9	418	1
10	-65.590244027832	-60.84848498137336	-242.8888275979345	-148.64963999862002	-4.741759046458637	11	19	8
11	-63.13191276655703	-58.0698796291888	-247.60735356735034	-145.82197999932063	-5.062033137368232	18	143	13
12	-62.81026997617234	-57.271256123296915	-243.8456422642553	-149.2316304009361	-5.53901385287543	9	466	4
13	-62.58023667943027	-57.885433662837	-241.76723151173022	-147.1487507406204	-4.694803016593271	9	445	5
14	-60.89413099482563	-56.34033126135083	-245.84185092372812	-145.44838927644932	-4.553799733474798	9	39	3
