	total_energy	enthalpy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-42.85774950288006	-35.98953059681269	-264.96285682241523	-153.84123578298227	-6.86821890606737	14	13	4
1	-40.532578805397506	-33.48463014657846	-271.0056438885849	-148.7280807306044	-7.047948658819046	15	39	7
2	-40.48873033122177	-34.637665294549244	-262.0786834698789	-150.85070413704864	-5.85106503667252	23	42	13
3	-39.65050636258913	-32.134724683382686	-262.98474464902085	-156.258073360018	-7.515781679206442	18	365	10
4	-38.65175507318589	-31.02696823958486	-270.6659645747562	-149.6628209515096	-7.62478683360103	26	176	14
5	-35.429133315676246	-29.568497169402214	-261.23278075638484	-155.19139568042183	-5.860636146274034	16	36	8
6	-34.893825258673985	-28.430583668573426	-263.0425553909178	-148.13179439045788	-6.463241590100557	19	472	11
7	-33.68968602401283	-28.286935061166197	-265.7736092179834	-146.27416808407224	-5.402750962846631	11	252	2
8	-33.50576486903874	-26.863954947752337	-262.8467402569884	-142.59040985908422	-6.641809921286407	16	238	9
9	-33.414066603558226	-26.201806287344553	-261.72955134820137	-155.4494736141816	-7.2122603162136745	14	325	6
10	-33.087326562011846	-27.454752625797298	-257.332589164204	-149.61395007605245	-5.63257393621455	20	434	12
11	-32.99788207059588	-26.955657157614596	-266.12790754711943	-145.16752539059937	-6.0422249129812835	32	260	15
12	-31.822230641857548	-26.329110383933333	-254.67206248688075	-147.69402950558919	-5.493120257924214	14	115	5
13	-26.442033259201356	-20.875290562224336	-253.4720874730737	-153.42059603486425	-5.566742696977019	12	92	3
14	-25.747044230108827	-19.053459244272563	-260.74133460970444	-144.19284634865264	-6.693584985836264	10	292	1
