	enthalpy	PDB_name
0	-26.623936205364767	135
1	-23.453288912661336	451
2	-23.004982852721277	140
3	-22.235935516945965	238
4	-22.067227997285165	288
5	-21.974452455191155	48
6	-21.847201834433314	325
7	-21.489913008606035	201
8	-21.476924290357022	83
9	-21.31027103282728	227
10	-21.229656688457585	427
11	-20.93737470964207	252
12	-20.400874987738295	220
13	-20.3236165046182	434
14	-20.19586450589291	365
15	-20.191920438866095	282
16	-20.007348488182284	471
17	-19.740350736523716	115
18	-19.53859322469214	435
19	-19.39410651222351	235
20	-18.697985505662476	383
21	-18.60551540227592	319
22	-18.540439695752966	194
23	-18.374450703119052	179
24	-18.3423786456161	42
25	-18.157392891349723	490
26	-17.997592923348503	215
27	-17.742257513913543	392
28	-17.72348861249343	178
29	-17.535182426842802	174
30	-17.24276381266744	340
31	-16.98683167524307	409
32	-16.91730894692821	363
33	-16.843518485974542	92
34	-16.84313548029592	17
35	-16.79862597280605	494
36	-16.395347593497952	247
37	-16.358699680955397	426
38	-16.21307858411616	378
39	-16.171470330480165	381
40	-16.119532269024862	96
41	-16.04830248064706	406
42	-15.793990143085523	486
43	-15.65645964061909	290
44	-15.476143873613065	320
45	-15.469155066267511	221
46	-15.343274421353335	162
47	-15.212499798695049	487
48	-15.197869697122602	248
49	-15.082360311718528	218
50	-15.071690457473167	108
51	-15.049599302001603	277
52	-14.991408171746443	149
53	-14.981759273077692	415
54	-14.902295518614704	353
55	-14.890022316298385	396
56	-14.681464554858675	75
57	-14.588096583646983	398
58	-14.434331994731512	13
59	-14.41127679233528	29
60	-14.390971314581346	482
61	-14.316357310323287	55
62	-14.270460684053255	405
63	-14.14534864676439	203
64	-14.089001466716244	338
65	-14.03542225191877	359
66	-13.951598449821276	101
67	-13.874096109106812	393
68	-13.867662136072283	276
69	-13.832988647539931	183
70	-13.7418002981926	89
71	-13.738960334969253	98
72	-13.688115846794485	148
73	-13.573152244225255	443
74	-13.505435423349468	314
75	-13.478435258210776	12
76	-13.456738804535984	294
77	-13.249228600571772	84
78	-13.240361671200432	256
79	-13.234169453000455	421
80	-13.10470018943768	377
81	-12.940693521440899	60
82	-12.897785741958785	416
83	-12.882801712953125	334
84	-12.860381752851563	136
85	-12.848522319495128	400
86	-12.768283116312233	93
87	-12.731821938839659	191
88	-12.700594187208896	87
89	-12.689760247187149	155
90	-12.665893718726434	308
91	-12.619735797271929	428
92	-12.61906163456144	316
93	-12.557920609345171	56
94	-12.538253004299222	423
95	-12.534815237884235	170
96	-12.530539078647248	104
97	-12.46875537949861	233
98	-12.461289044954938	382
99	-12.445517116084147	478
100	-12.444634477266199	414
101	-12.420425032903932	467
102	-12.38422753629969	59
103	-12.36919684636333	344
104	-12.28175227130437	95
105	-12.167898964322596	458
106	-12.041061643477029	144
107	-12.02823822121305	373
108	-12.008041167774628	313
109	-11.930122481503542	217
110	-11.910835351458854	485
111	-11.896405210140252	163
112	-11.892213263915913	150
113	-11.84087670244967	200
114	-11.821907413334355	297
115	-11.582287396525722	134
116	-11.525256288018827	90
117	-11.461122910322203	495
118	-11.436153405795086	82
119	-11.39863400304693	213
120	-11.274026033614053	418
121	-11.226610542405087	165
122	-11.204584111410085	403
123	-11.135411464548874	453
124	-11.096226490545334	85
125	-11.072718185015091	175
126	-11.057646085213065	275
127	-10.983446251000736	387
128	-10.974268680888187	157
129	-10.968202716019103	432
130	-10.951537787293141	58
131	-10.931927426878826	39
132	-10.921070531370173	312
133	-10.886613471460478	326
134	-10.804371787384962	397
135	-10.75809362756537	210
136	-10.736436357970739	5
137	-10.717755046322722	230
138	-10.67181911617637	228
139	-10.652176635656488	23
140	-10.610728768068867	74
141	-10.60767683319797	128
142	-10.593004573081316	8
143	-10.579076105037828	411
144	-10.532826674325179	79
145	-10.482173292527065	263
146	-10.436007048403852	457
147	-10.399654967643677	440
148	-10.39954084606137	254
149	-10.363904155501249	40
150	-10.134751741445523	357
151	-10.109643631334723	109
152	-10.101549942073252	71
153	-10.05316000616794	28
154	-9.992390308346828	33
155	-9.952938916255867	318
156	-9.95245619408076	251
157	-9.86170860340414	341
158	-9.826798364580572	147
159	-9.826244185677378	123
160	-9.761512342963698	1
161	-9.74928972134974	32
162	-9.56571455115472	187
163	-9.499449704729443	182
164	-9.464727437441809	497
165	-9.461160461969712	158
166	-9.458009567635582	249
167	-9.450170840385635	15
168	-9.430882682561304	110
169	-9.391893967755358	239
170	-9.32916102432203	94
171	-9.312164828383558	412
172	-9.292585260798631	466
173	-9.25963779978941	281
174	-9.156597868656455	113
175	-9.125144656495134	70
176	-9.097566211179746	332
177	-9.010775925221171	283
178	-9.008457739405166	126
179	-8.935196020435868	303
180	-8.929137544685325	114
181	-8.881522203337378	266
182	-8.811304375199171	395
183	-8.808351120520754	422
184	-8.796711929135064	226
185	-8.77608744663965	68
186	-8.77148144539916	464
187	-8.755398452977474	154
188	-8.717969005557237	16
189	-8.717510859426397	356
190	-8.701918511207605	310
191	-8.67998512437039	331
192	-8.664118347520189	350
193	-8.5528710052955	315
194	-8.488956236049042	78
195	-8.487024879880106	121
196	-8.440002640562515	374
197	-8.421903911473208	463
198	-8.415955320559796	309
199	-8.394671229314003	298
200	-8.391836815774877	3
201	-8.373150832109587	118
202	-8.324930293716779	152
203	-8.302660612238952	26
204	-8.292650830712436	195
205	-8.252032381536893	171
206	-8.251030319768073	44
207	-8.104178025564565	262
208	-8.00541964068606	166
209	-7.989628629022587	304
210	-7.979437641969703	346
211	-7.971574379584059	122
212	-7.891226200512509	67
213	-7.885537615505701	222
214	-7.831812602742769	116
215	-7.766639918763758	328
216	-7.731174065026213	168
217	-7.707173119235563	141
218	-7.69769691602751	389
219	-7.425822498163964	317
220	-7.318486181211352	181
221	-7.308893660945987	209
222	-7.258959841026055	474
223	-7.252709565256694	454
224	-7.244966500687154	413
225	-7.216286975631583	452
226	-7.188292989401766	193
227	-7.11398732031941	472
228	-7.085642758344253	343
229	-7.0616096343052455	189
230	-7.057440139494691	172
231	-6.976518699558696	51
232	-6.950898221996113	18
233	-6.9490719385740185	224
234	-6.913206860907589	142
235	-6.842361463971347	186
236	-6.836261282118095	295
237	-6.785040507524993	241
238	-6.775722677754938	245
239	-6.728611494362966	192
240	-6.6452458625592925	291
241	-6.643234623396644	371
242	-6.626609078816081	7
243	-6.593254727856184	272
244	-6.563289135829091	206
245	-6.478622204698503	212
246	-6.392324324444555	292
247	-6.377389294022997	459
248	-6.305265442336218	498
249	-6.229709656127078	369
250	-6.194165646846578	330
251	-6.155595089536387	69
252	-6.146954951945261	231
253	-6.142446449418255	232
254	-6.116243895968491	260
255	-6.075291901852864	19
256	-6.073957869031069	242
257	-6.060249534687294	450
258	-5.982654112588374	151
259	-5.976061107193743	322
260	-5.933847938419326	447
261	-5.765432353862344	302
262	-5.741844070282443	285
263	-5.688475047349247	131
264	-5.673253896717544	2
265	-5.672988033406654	358
266	-5.660389805194285	10
267	-5.639336666518652	327
268	-5.623460248580869	111
269	-5.515894403069542	66
270	-5.499687241640043	62
271	-5.4172050109247145	460
272	-5.404053491357512	301
273	-5.380274824424987	102
274	-5.339369137790378	391
275	-5.288683075136998	481
276	-5.246087937964521	208
277	-5.2308674563604	476
278	-5.228725409869433	176
279	-5.189073133380912	417
280	-5.153662662546914	130
281	-5.1124621690835035	24
282	-5.103378825588223	351
283	-5.083143629023759	268
284	-5.066013265530296	366
285	-5.049842145219987	80
286	-5.0401824436654366	386
287	-5.035876182923445	106
288	-4.991051675903627	53
289	-4.965127269889777	480
290	-4.960154336265326	103
291	-4.9494321595866815	139
292	-4.939830419981124	81
293	-4.903433939160593	47
294	-4.891550174467092	345
295	-4.854288639027981	446
296	-4.853390822255712	372
297	-4.806184723997216	250
298	-4.762716582466659	289
299	-4.704077406316557	431
300	-4.645270681281808	410
301	-4.642049334574555	45
302	-4.606719737622306	133
303	-4.604132793723476	479
304	-4.586203349390768	287
305	-4.579334078629856	120
306	-4.575822748731213	333
307	-4.574783291628236	197
308	-4.553259441269191	258
309	-4.535248084112407	335
310	-4.5180855416338375	34
311	-4.5142776366237705	420
312	-4.513901155703447	198
313	-4.430294107550729	445
314	-4.379211414069683	348
315	-4.37005891944764	107
316	-4.330271452466388	407
317	-4.326780074984791	470
318	-4.313512596892323	38
319	-4.306724933520595	259
320	-4.2794548255372185	49
321	-4.213749918576113	30
322	-4.136304578526154	236
323	-4.098800030539699	36
324	-4.077697568830683	477
325	-4.070473906081485	4
326	-3.934681615048909	360
327	-3.91384220036435	390
328	-3.8876703782394486	337
329	-3.7993269918761428	271
330	-3.7635168280474502	153
331	-3.7562000944410308	61
332	-3.7444278457092324	219
333	-3.7123338137045216	352
334	-3.709737831437117	243
335	-3.6737685435326988	216
336	-3.641567330213853	437
337	-3.58452502902648	20
338	-3.562329341860952	489
339	-3.5461761798986355	159
340	-3.423436773428328	138
341	-3.416583966519916	229
342	-3.4133569009761757	465
343	-3.4116171898133345	88
344	-3.3007011087741063	77
345	-3.1930633434289106	100
