	total_energy	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-42.86422118283403	-35.99600227676666	-264.9596162420899	-153.84587999958512	-6.868218906067369	13	4
1	-40.64842705801715	-34.797362021344625	-261.66347977286983	-149.79908426823334	-5.85106503667252	42	13
2	-40.532671529973676	-33.48472287115463	-271.00577085188235	-148.7280401668161	-7.0479486588190445	39	7
3	-39.80476274685192	-32.28898106764548	-263.1969433717332	-156.50070842192036	-7.515781679206444	365	10
4	-39.49830734486197	-33.64724230818945	-264.9206078033617	-158.1730392596925	-5.85106503667252	218	13
5	-39.277362721952265	-31.76158104274582	-262.472106587999	-155.66916327689458	-7.515781679206444	60	10
6	-39.08844288240328	-32.22022397633591	-266.850464694	-151.13616822912797	-6.868218906067369	96	4
7	-38.809508761595666	-31.184721927994637	-271.6338554688889	-149.06083501399965	-7.62478683360103	176	14
8	-37.47429647969546	-31.62323144302294	-263.02188970866496	-150.34267291310923	-5.85106503667252	314	13
9	-37.150442016837744	-29.525655183236715	-264.0777085233329	-153.79007074650892	-7.62478683360103	393	14
10	-36.850571481364774	-29.225784647763746	-255.25959496235086	-159.1969651359279	-7.62478683360103	427	14
11	-36.346177768647586	-30.495112731975066	-264.95046661015465	-152.5882511928195	-5.85106503667252	297	13
12	-35.429135872660545	-29.568499726386513	-261.2327817071255	-155.1913976678474	-5.860636146274034	36	8
13	-34.95841373818472	-28.495172148084162	-263.338147796892	-149.20590121640961	-6.463241590100556	472	11
14	-34.811392136909625	-28.34815054680907	-262.66436516049805	-146.75504457880365	-6.463241590100556	130	11
15	-34.58131883777651	-27.065537158570063	-251.29748541911158	-153.14795483918274	-7.515781679206444	383	10
16	-34.05141026550384	-28.20034522883132	-269.2251629725623	-151.96853581906572	-5.85106503667252	18	13
17	-33.68969921049982	-28.28694824765319	-265.7736244881188	-146.2741595296615	-5.402750962846629	252	2
18	-33.59522577559723	-26.547277116778183	-262.0174202701532	-150.38734125305004	-7.0479486588190445	74	7
19	-33.565688824261514	-26.04990714505507	-270.3303443989632	-149.66594680834365	-7.515781679206444	413	10
20	-33.56285581889267	-26.350595502678996	-261.91997600080396	-155.82500699154858	-7.212260316213675	325	6
21	-33.52784137814788	-26.886031456861474	-262.84199740084495	-142.5408139521301	-6.641809921286408	238	9
22	-33.27831099465669	-27.645737058442144	-255.380056863068	-150.46339147582142	-5.632573936214549	434	12
23	-33.26916843545911	-26.221219776640062	-260.16050342415843	-154.27696348424578	-7.0479486588190445	273	7
24	-33.03435278015347	-26.992127867172186	-266.02137944791616	-143.77977734833232	-6.042224912981282	260	15
25	-32.96217860988144	-26.91995369690016	-266.25455456084575	-146.72612183166305	-6.042224912981282	282	15
26	-32.38928076672229	-25.17702045050861	-260.5058922141626	-152.67564663459927	-7.212260316213675	170	6
27	-32.34149401876039	-26.708920082545845	-266.5162261214674	-145.67606262917045	-5.632573936214549	405	12
28	-32.20183764769297	-25.3336187416256	-251.67633695315143	-160.85311025290898	-6.868218906067369	487	4
29	-31.88226641607274	-26.389146158148527	-254.58597567108188	-147.61676721719013	-5.493120257924213	115	5
30	-31.690985539559332	-24.822766633491963	-264.7295736224444	-145.02395167092791	-6.868218906067369	490	4
31	-31.686550428524903	-24.061763594923875	-259.90999612778603	-149.87492067956262	-7.62478683360103	318	14
32	-31.37024239116516	-23.854460711958716	-261.6889092292871	-152.83843678235556	-7.515781679206444	493	10
33	-30.820034716982054	-25.187460780767505	-261.1421286203888	-147.21462237802837	-5.632573936214549	183	12
34	-30.603692688973034	-23.961882767686625	-263.6775100483807	-149.25305365539697	-6.641809921286408	411	9
35	-30.088892168571807	-23.04094350975276	-256.73714317401885	-157.1075150561797	-7.0479486588190445	359	7
36	-30.06563951654856	-23.197420610481192	-260.3429486361182	-154.44153701316137	-6.868218906067369	110	4
37	-29.797168907379522	-22.172382073778493	-262.7266638032031	-145.6585149741426	-7.62478683360103	33	14
38	-29.68776058162932	-24.19464032370511	-257.70408241916226	-151.01228412081406	-5.493120257924213	494	5
39	-29.576352414633877	-22.3640920984202	-247.1904839558029	-159.78482102979623	-7.212260316213675	346	6
40	-29.45815318504691	-21.833366351445882	-265.99309574297604	-145.71830558994833	-7.62478683360103	374	14
41	-29.327519284299107	-21.70273245069808	-259.509833371164	-148.5843496003736	-7.62478683360103	431	14
42	-29.19240891061433	-23.34134387394181	-260.8779085171764	-147.64332543716975	-5.85106503667252	178	13
43	-29.178093889517775	-21.553307055916747	-262.2901813120831	-146.30175568670938	-7.62478683360103	174	14
44	-29.17245261305697	-22.124503954237923	-266.70749028268324	-150.81122027660993	-7.0479486588190445	207	7
45	-29.162066699023413	-21.949806382809737	-255.3500810919176	-159.78578283647087	-7.212260316213675	239	6
46	-28.987918187393966	-22.52467659729341	-252.43158283668657	-155.99266336175333	-6.463241590100556	398	11
47	-28.867114801238287	-21.819166142419242	-260.17974205181383	-149.68905594666518	-7.0479486588190445	51	7
48	-28.70740157905714	-22.66517666607586	-261.6287198223206	-154.66675339601778	-6.042224912981282	16	15
49	-28.292691811633315	-21.424472905565946	-257.1481784757226	-157.7963907466872	-6.868218906067369	340	4
50	-28.05223655017524	-21.410426628888832	-259.78142800424354	-148.45789552550053	-6.641809921286408	179	9
51	-28.017579531422278	-21.975354618440996	-260.2917606840867	-146.08988716464722	-6.042224912981282	415	15
52	-27.923159237660446	-22.072094200987927	-260.76718403368034	-150.09678301886942	-5.85106503667252	251	13
53	-27.884254880724264	-22.033189844051744	-258.1275213528854	-148.6538600978883	-5.85106503667252	111	13
54	-27.83832694660121	-22.205753010386662	-260.08717095551896	-145.2324665717573	-5.632573936214549	83	12
55	-27.736681240741575	-22.243560982817364	-260.7594282557924	-144.37937447535393	-5.493120257924213	471	5
56	-27.69270360403018	-22.199583346105968	-261.196405581633	-145.73985485329013	-5.493120257924213	290	5
57	-27.641918992834764	-22.009345056620216	-251.4946222539841	-154.77690031052913	-5.632573936214549	399	12
58	-27.58703468301105	-21.54480977002977	-257.41067632997067	-154.20597192306337	-6.042224912981282	392	15
59	-27.55995878590126	-20.91814886461485	-249.2121527663684	-150.55832430194485	-6.641809921286408	67	9
60	-27.544137792400914	-21.911563856186365	-261.42288909125364	-149.3227662759396	-5.632573936214549	414	12
61	-27.30472752489448	-20.662917603608072	-257.0492844351557	-150.56451172253833	-6.641809921286408	451	9
62	-27.294783074246574	-21.443718037574055	-262.47078276770714	-147.0041096150179	-5.85106503667252	454	13
63	-27.29245265470513	-20.65064273341872	-255.04557366301069	-156.10978251011701	-6.641809921286408	328	9
64	-27.020899144718566	-21.169834108046047	-257.8570915778912	-148.6698081725843	-5.85106503667252	353	13
65	-26.920786052829513	-19.295999219228484	-256.22712814990837	-149.46493279075858	-7.62478683360103	71	14
66	-26.86638703729476	-21.233813101080212	-262.4704654725478	-145.48892987623216	-5.632573936214549	373	12
67	-26.85292578924728	-19.804977130428234	-256.03728437028303	-155.191599244981	-7.0479486588190445	287	7
68	-26.68224085767496	-20.640015944693676	-258.45450887349944	-148.47711419095305	-6.042224912981282	5	15
69	-26.584142845923207	-20.541917932941924	-256.88482641810845	-150.41769165452246	-6.042224912981282	98	15
70	-26.56463310553764	-20.101391515437086	-267.4562015084537	-144.02366405108424	-6.463241590100556	97	11
71	-26.498695766145573	-20.931953069168557	-253.26297444977462	-153.6251911870719	-5.566742696977018	92	3
72	-26.17888529191542	-20.31824914564139	-251.95667815834022	-146.84879889266125	-5.860636146274034	466	8
73	-26.025094033069735	-19.982869120088452	-260.00292338756043	-147.2176751517058	-6.042224912981282	387	15
74	-25.966446981398892	-19.098228075331523	-259.91516520126777	-144.51902656089757	-6.868218906067369	118	4
75	-25.925917819086074	-20.074852782413554	-261.6963725596703	-141.79894274804386	-5.85106503667252	194	13
76	-25.894443888887736	-20.033807742613703	-267.1195575350582	-149.6231218127789	-5.860636146274034	386	8
77	-25.828426883709305	-18.78047822489026	-256.3064684040852	-147.04733273545978	-7.0479486588190445	138	7
78	-25.824115041187458	-18.308333361981013	-257.77535723552387	-151.61996086791612	-7.515781679206444	500	10
79	-25.7982547379187	-20.395503775072072	-256.62406326411207	-151.4163259229027	-5.402750962846629	357	2
80	-25.76189398439096	-19.068308998554695	-260.78923085693805	-144.17196302324254	-6.693584985836264	292	1
81	-25.72045165267936	-19.86938661600684	-256.95381486155736	-141.7260440122474	-5.85106503667252	320	13
82	-25.439088603002777	-19.396863690021494	-256.18463925980586	-146.76031377696526	-6.042224912981282	403	15
83	-24.884135649177153	-17.259348815576125	-255.23959616916866	-145.05333419135235	-7.62478683360103	277	14
84	-24.816868406867194	-18.965803370194674	-265.687816925615	-142.13287245321848	-5.85106503667252	149	13
85	-24.757180473238847	-17.13239363963782	-256.3898421686726	-150.16496157936402	-7.62478683360103	181	14
86	-24.59484325992401	-18.74377822325149	-255.70407258751735	-142.96080289586936	-5.85106503667252	416	13
87	-24.50364592043001	-16.987864241223566	-256.0989862235298	-149.14640460002545	-7.515781679206444	200	10
88	-24.448208815859964	-18.40598390287868	-258.32299252876373	-152.08686167418298	-6.042224912981282	303	15
89	-24.326852620223512	-18.760109923246496	-261.352124072091	-145.7617187932002	-5.566742696977018	310	3
90	-24.25527582965603	-18.213050916674746	-251.99876186360024	-154.4945867745808	-6.042224912981282	440	15
91	-24.241162245623595	-17.599352324337186	-252.80775729285776	-151.62717885580346	-6.641809921286408	338	9
92	-24.031248405166124	-18.180183368493605	-253.16245885979941	-150.34580647588652	-5.85106503667252	381	13
93	-24.01716872502942	-16.392381891428393	-257.98913660372574	-149.47207167241734	-7.62478683360103	409	14
94	-23.704766153201007	-18.211645895276796	-254.30678863769924	-145.67593967396985	-5.493120257924213	95	5
95	-23.0618987121903	-17.201262565916267	-256.31810452933433	-147.92730178053563	-5.860636146274034	61	8
96	-23.027962838451536	-15.403176004850506	-255.37590637708283	-151.68373030686234	-7.62478683360103	126	14
97	-22.995116647262655	-16.353306725976246	-256.80545250525984	-151.98727937146717	-6.641809921286408	444	9
98	-22.95569870305915	-17.462578445134938	-254.52869090684007	-152.5485051686904	-5.493120257924213	423	5
99	-22.775108337739304	-15.562848021525628	-259.2289395603467	-141.4109714470242	-7.212260316213675	275	6
100	-22.578922745267157	-15.885337759430893	-250.4860961414797	-148.66763094538547	-6.693584985836264	58	1
101	-22.44270052827761	-15.57448162221024	-262.9766538620347	-137.1966724711474	-6.868218906067369	350	4
102	-22.355551735966763	-16.862431478042552	-250.2973566486015	-149.80615358911544	-5.493120257924213	147	5
103	-22.30782308079146	-15.844581490690906	-260.22257577671326	-147.6556924508538	-6.463241590100556	87	11
104	-22.16534465800645	-14.953084341792774	-261.6329350725583	-143.46275836743666	-7.212260316213675	164	6
105	-22.145773557982714	-16.743022595136086	-254.83092212063116	-146.20190871288125	-5.402750962846629	209	2
106	-22.108151847626942	-16.06592693464566	-249.65898613771682	-158.0434308004774	-6.042224912981282	301	15
107	-22.037594853413182	-15.574353263312627	-259.63190234983597	-142.8781187122094	-6.463241590100556	128	11
108	-22.017404044562305	-16.45066134758529	-266.4878781781377	-138.3046005990981	-5.566742696977018	86	3
109	-22.005907426313282	-16.603156463466654	-255.83299144920568	-149.8230373100978	-5.402750962846629	316	2
